sample	phenotype	population	sex	death_type
DG_1	1	FP-F1	NA	Natural
DG_3	1	FP-F1	NA	Natural
DG_4	0	FP-F1	F	Natural
DG_5	0	FP-F1	NA	Natural
DG_9	1	FP-F1	NA	Natural
DG_16	1	FP-F1	probably_F	Natural
DG_17	0	FP-F1	NA	Natural
DG_25	1	FP-F1	NA	Natural
DG_29	0	FP-F1	NA	Natural
DG_32	1	FP-F1	NA	Natural
DG_33	1	FP-F1	NA	Natural
DG_34	1	FP-F1	NA	Natural
DG_36	1	AA-F1	NA	Natural
DG_38	1	AA-F1	NA	Natural
DG_43	1	AA-F1	NA	Natural
DG_49	1	WM-F1	NA	Natural
DG_50	1	WM-F1	NA	Natural
DG_51	1	WM-F1	NA	Natural
DG_52	1	WM-F1	NA	Natural
DG_53	1	WM-F1	NA	Natural
DG_55	1	FP-F1	NA	Natural
DG_67	0	FP-F1	NA	Killed
DG_68	0	FP-F1	NA	Killed
DG_69	0	FP-F1	NA	Killed
DG_71	0	AA-F1	NA	Killed
DG_72	1	AA-F1	NA	Killed
DG_73	1	AA-F1	NA	Killed
DG_74	1	AA-F1	NA	Killed
DG_75	1	AA-F1	M	Killed
DG_76	1	AA-F1	NA	Killed
DG_78	1	AA-F1	M	Natural
DG_82	1	AA-F1	M	Killed
DG_83	1	AA-F1	M	Killed
DG_84	1	AA-F1	NA	Killed
DG_85	1	AA-F1	NA	Killed
DG_86	1	AA-F1	NA	Killed
DG_87	1	AA-F1	NA	Killed
DG_88	1	AA-F1	NA	Killed
DG_92	1	WM-F1	NA	Killed
DG_93	1	WM-F1	NA	Killed
DG_94	1	WM-F1	NA	Killed
DG_97	1	WM-F1	maybe_M	Killed
DG_104	0	FP-F1	NA	Natural
DG_105	0	FP-F1	NA	Killed
DG_107	0	FP-F1	M	Killed
DG_109	0	FP-F1	NA	Killed
DG_113	1	AA-F1	F	Killed
